Timestamp,How would you describe your racial/ethnic identity?,Do you identify as low-income?,How would you describe your gender?,How would you describe your sexual orientation?,Are you a first-generation college student?,Do you have disabilities?,How many semesters have you lived at Cloyne?,Which semester at Cloyne is this for you?,"If there are any other identities you'd like to make known, you may do so below.",How would you describe your disabilities?,Please assess the following claims about disability generally. [Social events at Cloyne accommodate my disabilities.],Please assess the following claims about disability generally. [The central-level process for workshift or bedroom accommodations works well.],Please assess the following claims about disability generally. [I have been given appropriate workshift or bedroom accommodations at the unit-level.],Please assess the following claims about disability generally. [Managers make me feel accommodated.],What do you want to see at Cloyne for people with disabilities?,"If you have physical disabilities, please assess the following claims about accessibility. [Cloyne's spaces, events, facilities, and processes are accessible to me.]","If you have physical disabilities, please assess the following claims about accessibility. [I cannot but would like to be able to use at least one of the basement facilities (dark/music/meditation room, makerspace, or gym).]","If you have physical disabilities, please assess the following claims about accessibility. [I would prefer that the E1 study room (currently silent) be made into a group study room.]","If you have physical disabilities, please assess the following claims about accessibility. [Dinner logistics (including line, dining room, and serving set-up) work well for me.]","If you have physical disabilities, please assess the following claims about accessibility. [I cannot but would like to be able to attend support circles (currently held on the second floor).]","What can be done to make other spaces, events, facilities, and processes more accessible to you?",Do you have other feedback about making Cloyne more inclusive for people with disabilities?,How poorly or well do you think the following values are realized at Cloyne? [Inclusion],How poorly or well do you think the following values are realized at Cloyne? [Anti-Oppression],How poorly or well do you think the following values are realized at Cloyne? [Allyship],How poorly or well do you think the following values are realized at Cloyne? [Community],How poorly or well do you think the following values are realized at Cloyne? [Cooperativity],How poorly or well do you think the following values are realized at Cloyne? [Democracy],"If you have experienced microaggressions or other oppressive behaviors at Cloyne, which have you experienced?",Please assess the following claims about community. [I have a support system at Cloyne.],Please assess the following claims about community. [I was able to make friends easily at Cloyne.],Please assess the following claims about community. [Other members have made me feel welcome.],Please assess the following claims about community. [Welcome week helped me meet people and make friends.],"Please assess the following claims about community. [I feel comfortable taking up space in common areas, such as the dining room.]",Please assess the following claims about community. [Members communicate respectfully.],Please assess the following claims about community. [Members acknowledge their privilege.],"Please assess the following claims about community. [I feel comfortable using house resources, such as food.]",Please assess the following claims about community. [Members socialize across identity groups.],"Please assess the following claims about community. [I feel comfortable using facilities, such as the makerspace or sauna.]",Please assess the following claims about Cloyne's managers and council. [I feel comfortable bringing up issues with managers.],Please assess the following claims about Cloyne's managers and council. [Managers use their elected authority appropriately.],"Please assess the following claims about Cloyne's managers and council. [I would feel comfortable running for a manager position, if interested.]",Please assess the following claims about Cloyne's managers and council. [The manager team is representative and diverse.],Please assess the following claims about Cloyne's managers and council. [The manager team makes me feel welcome.],Please assess the following claims about Cloyne's managers and council. [I feel comfortable attending council.],Please assess the following claims about Cloyne's managers and council. [I feel empowered to speak and vote at council the way I would like to.],Please assess the following claims about Cloyne's managers and council. [I feel that my opinion is heard and valued at council.],Please assess the following claims about Cloyne's managers and council. [Council's facilitation is inclusive.],Underrepresentation can cause feelings of marginalization. Where and in what groups (if at all) do you experience this? [General membership],Underrepresentation can cause feelings of marginalization. Where and in what groups (if at all) do you experience this? [Manager team],What community programs would you like to see?,Do you have other feedback about community or governance?,How often do you attend each of the following events? [Dinner/Brunch],How often do you attend each of the following events? [Council],How often do you attend each of the following events? [Social Events],How often do you attend each of the following events? [Community Workshops],How often do you attend each of the following events? [Academic Talks],How often do you attend each of the following events? [Support Circles (that you identify with)],How often do you attend each of the following events? [Makerspace Workshops],"For events that you don't attend as often, why is that?","Please assess the following claims about food. [I have enough ingredients to make dishes from my ethnic, religious, or cultural cuisine if I want to.]","Please assess the following claims about food. [I am satisfied with the representation of my ethnic, religious, or cultural foods at dinner.]",Please assess the following claims about food. [The house's focus on vegan and vegetarian food is inclusive for me.],Please assess the following claims about food. [What I consider to be staple foods reflects what the house considers to be staple foods.],Please assess the following claims about food. [Reasonable food requests that I make are generally fulfilled.],Which workshops/events (if any) should be required each academic year for Community Engagement (CE) hours?,Meals and Cooking,Community Workshops,Academic Programming,Professional Development,Murals,Are there any murals that you find offensive and feel should be painted over?,Would you like to provide feedback about a support circle for gender and sexuality?,Do you have other feedback about programming?,Which support circles would you personally attend?,Do you have other feedback about creating a support circle for gender and/or sexuality?,"How would you personally be interested in continuing to provide feedback in future semesters (i.e., not this Fall, but Spring or afterwards) about your experience of inclusion issues?","If you would be interested in participating in a focus group or interview in a future semester, please indicate for which group(s).",Do you have suggestions on how to make Cloyne more inclusive for undocumented folks?,Do you have any other feedback about issues of inclusion at Cloyne?,Do you have any feedback for improving the survey itself?
10/30/2017 8:09,White,No,"Female, Gender nonconforming ","Gay/Lesbian, Queer",No,Yes,5,,,"Mental disorder (e.g., depression), Cognitive (intellectual, learning, etc.), Non-visible, Asperger's?",3 (Somewhat),3 (Somewhat),5 (Very much so),5 (Very much so),Support circle for people with disabilities,,,,,,,,3 (Somewhat),3 (Somewhat),3 (Somewhat),3 (Somewhat),3 (Somewhat),4,"People have avoided socializing with me or even acknowledging me in common space., I’ve heard or been told inappropriate jokes, questions, stereotypes, slurs, etc., People have made me feel that I was being overly sensitive in reacting to oppressive behavior.,  the negative stereotypes have been disability related i.e. not ones they knew applied to me",5 (Very much so),4,4,5 (Very much so),4,4,4,5 (Very much so),3 (Somewhat),3 (Somewhat),5 (Very much so),5 (Very much so),4,4,4,3 (Somewhat),5 (Very much so),5 (Very much so),4,"Women, Queer folks, People with disabilities","Women, Queer folks, People with disabilities","""Initiation"" (inclusive, consensual, and substance-free, of course!), Big-little system (but--again--co-op style!), Outgoing managers encouraging members of underrepresented groups to run for positions",,4,2,2,2,1 (Almost never),5 (Almost always),2,"The events are not fun, engaging, or otherwise worthwhile enough for me to attend more., I don't have enough time to attend., social anxiety + lack of substances to mitigate it",5 (Very much so),N/A,4,5 (Very much so),N/A,"Anti-Oppression Workshop, Consent Workshop, have multiple options within these","Multicultural-themed special dinner, Enough communal food cooked for leftovers, Multicultural theme dinners and programming, loth style food orgy! (jk)","Sexual assault prevention workshop, Protest workshop, Know Your Rights workshop, Conflict resolution workshop, Trans awareness workshop, Disability awareness workshop","Humanities talks, Talks about inclusion issues in STEM, Talks on oppression and social justice, Talks on cultures and identities, cybersecurity","Time-management workshop, Financial literacy workshop",Create more murals that represent marginalized groups,No!,"Yes, I want to fill out the Gender and Sexuality Support Circle section.",,"Trans, Nonbinary, and Gender Nonconforming Circle, LGBTQ+/Queer Circle, Women and Femmes Circle, Gender Empowerment Circle, Gender and Sexuality Empowerment Circle",QMC 5evar,"Support circle discussions about Cloyne-specific issues, Focus groups (for HI hours), Improving and running this survey again","People with disabilities, Gender/sexuality-oppressed people",,,Don't ask about undocumented status!
10/30/2017 8:17,"White, Ashkenazi Jewish",No,Questioning,Questioning,No,Yes,2,,,"Mental disorder (e.g., depression), Non-visible",1 (Not at all),5 (Very much so),5 (Very much so),2,"A stronger culture of compromise, empathy, and accomodation than can be created by a single workshop :/",,,,,,"Don't play music at important events like dinner and council or you'll drive away people with sensory sensitivities :(

Last year, we had a culture of consent built into the community agreements regarding music, but even then I never felt like I could actually ask people to turn it off if I really needed to. The same is true now, and I end up either miserable and in pain or forced out of where I need to be.

In particular, the speaker in the kitchen is a big problem. I understand why people like it, and so do I sometimes, but if I'm not able to be somewhere with music, I pretty much can't eat. If I have a dish shift and am particularly sensitive to it at that time, I don't have the choice to stay out and end up in pain/miserable/suicidal due to it.

Keep the quiet study rooms quiet! When you have people eating in there, or blasting loud music right below, I imagine it's difficult for anyone to work, and I have personally been driven right out many times because I simply can't exist in that environment.","We really need a better culture at Cloyne regarding this, because while some people can be awesome about it and happy to work out accomodations and compromises, other people simply aren't (""it's not quiet hours, you can't make me use headphones"", ""this is my shift and I can play whatever I want""), or they don't even think about it and just disappear so you can't talk to them. Lately, I've even had to be concerned about asking to turn off music being labeled as a racial microaggression! When I just can't take music at that time.

That, the culture, is the biggest thing we need to work on.",3 (Somewhat),3 (Somewhat),3 (Somewhat),3 (Somewhat),2,3 (Somewhat),I have not experienced microaggressions or other oppressive behaviors at Cloyne.,2,3 (Somewhat),3 (Somewhat),1 (Not at all),1 (Not at all),3 (Somewhat),4,5 (Very much so),4,5 (Very much so),3 (Somewhat),5 (Very much so),5 (Very much so),4,4,4,2,3 (Somewhat),4,,,"None of the above, and I have no other ideas.",,5 (Almost always),4,3 (About half the time),2,2,1 (Almost never),1 (Almost never),"The events are not fun, engaging, or otherwise worthwhile enough for me to attend more., I don't have enough time to attend., Conflicts",4,4,3 (Somewhat),4,4,"Anti-Oppression Workshop, Community Agreements, Consent Workshop, Two councils (one per semester), CE hours are completely unnecessary during the academic year because we all interact plenty.",The actual presence of staple items rather than frequent shortages and the diversion of money to a giant party.,"Know Your Rights workshop, Conflict resolution workshop, Disability awareness workshop","Humanities talks, STEM talks, Talks about inclusion issues in STEM, Talks on oppression and social justice, Talks on cultures and identities",GSI/professor dinners,"None of the above, and I have no other ideas.",,"No, I'd like to provide final feedback or submit.",,,,"Support circle discussions about Cloyne-specific issues, Focus groups (for HI hours)",People with disabilities,,,Nope. Fantastic job on it! Very well-designed.
10/30/2017 8:54,Middle Eastern or North African,Yes,Female,Bisexual,No,Yes,0 (this is my first semester),,,"Mental disorder (e.g., depression)",5 (Very much so),4,5 (Very much so),5 (Very much so),,,,,,,,,3 (Somewhat),3 (Somewhat),3 (Somewhat),2,2,3 (Somewhat),People have avoided socializing with me or even acknowledging me in common space.,2,2,2,1 (Not at all),3 (Somewhat),5 (Very much so),2,5 (Very much so),2,4,4,4,3 (Somewhat),4,2,2,4,4,2,Queer folks,,"""Initiation"" (inclusive, consensual, and substance-free, of course!)",,4,3 (About half the time),4,3 (About half the time),3 (About half the time),1 (Almost never),3 (About half the time),I don't have enough time to attend.,4,2,5 (Very much so),4,5 (Very much so),,"Multicultural-themed special dinner, Multicultural theme dinners and programming, Cooking workshops",Protest workshop,"Humanities talks, Talks on oppression and social justice, Talks on cultures and identities","GSI/professor dinners, Time-management workshop, Résumé-building workshop, Mock interviews, Financial literacy workshop",Create more murals that represent marginalized groups,,"No, I'd like to provide final feedback or submit.",,,,"None of the above, and I have no other ideas.",,,,
10/30/2017 8:56,White,Yes,Male,Straight,No,No,6,,EOP,,,,,,,,,,,,,,3 (Somewhat),5 (Very well),5 (Very well),3 (Somewhat),3 (Somewhat),1 (Very poorly),Prefer not to say,3 (Somewhat),4,4,3 (Somewhat),3 (Somewhat),4,3 (Somewhat),3 (Somewhat),4,3 (Somewhat),4,3 (Somewhat),3 (Somewhat),3 (Somewhat),3 (Somewhat),2,3 (Somewhat),4,1 (Not at all),,,"None of the above, and I have no other ideas.",,3 (About half the time),2,1 (Almost never),1 (Almost never),1 (Almost never),1 (Almost never),1 (Almost never),I don't have enough time to attend.,4,4,N/A,N/A,N/A,None. Less requirements. Too many requirements in this house.,"None of the above, and I have no other ideas.","None of the above, and I have no other ideas.","None of the above, and I have no other ideas.","None of the above, and I have no other ideas.",Less murals,,"No, I'd like to provide final feedback or submit.",,,,"None of the above, and I have no other ideas.",,,,
10/30/2017 9:38,"Person of Color, White, Asian",Prefer not to say,Male,Straight,Prefer not to say,Prefer not to say,2,,,,,,,,,,,,,,,,5 (Very well),5 (Very well),5 (Very well),5 (Very well),5 (Very well),5 (Very well),I have not experienced microaggressions or other oppressive behaviors at Cloyne.,5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),,,"None of the above, and I have no other ideas.",,3 (About half the time),1 (Almost never),1 (Almost never),1 (Almost never),1 (Almost never),2,1 (Almost never),I don't have enough time to attend.,5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),I think each member should get to completely decide how they fulfill their CE hours.,"None of the above, and I have no other ideas.","None of the above, and I have no other ideas.","None of the above, and I have no other ideas.","None of the above, and I have no other ideas.","None of the above, and I have no other ideas.",,"No, I'd like to provide final feedback or submit.",,,,"None of the above, and I have no other ideas.",,,,
10/30/2017 9:39,Person of Color,Yes,Female,Straight,No,No,0 (this is my first semester),,,,,,,,,,,,,,,,3 (Somewhat),4,3 (Somewhat),3 (Somewhat),4,3 (Somewhat),"People have avoided socializing with me or even acknowledging me in common space., People have turned off music I've put on without asking me.",3 (Somewhat),3 (Somewhat),3 (Somewhat),3 (Somewhat),5 (Very much so),3 (Somewhat),4,5 (Very much so),5 (Very much so),5 (Very much so),4,4,4,5 (Very much so),4,4,4,4,4,People of color,,"Check-ins throughout the semester with an involved member or manager, Big-little system (but--again--co-op style!)",,3 (About half the time),3 (About half the time),3 (About half the time),3 (About half the time),3 (About half the time),2,3 (About half the time),I don't have enough time to attend.,3 (Somewhat),3 (Somewhat),4,4,4,"Community Agreements, Two councils (one per semester)","Enough communal food cooked for leftovers, Multicultural theme dinners and programming, Cooking workshops",Know Your Rights workshop,STEM talks,"GSI/professor dinners, Time-management workshop, Résumé-building workshop, Mock interviews",Create more murals that represent marginalized groups,,"No, I'd like to provide final feedback or submit.",,,,Focus groups (for HI hours),People of color,,,
10/30/2017 10:14,White,Yes,Female,Pansexual,No,Prefer not to say,0 (this is my first semester),,,,,,,,,,,,,,,,4,5 (Very well),5 (Very well),3 (Somewhat),5 (Very well),4,People have avoided socializing with me or even acknowledging me in common space.,4,5 (Very much so),5 (Very much so),1 (Not at all),3 (Somewhat),3 (Somewhat),2,4,2,2,3 (Somewhat),4,3 (Somewhat),2,2,1 (Not at all),1 (Not at all),1 (Not at all),3 (Somewhat),"People of color, Trans folks","People of color, Trans folks","None of the above, and I have no other ideas.",,3 (About half the time),1 (Almost never),1 (Almost never),1 (Almost never),2,1 (Almost never),1 (Almost never),I don't have enough time to attend.,3 (Somewhat),3 (Somewhat),N/A,2,3 (Somewhat),I think each member should get to completely decide how they fulfill their CE hours.,"Multicultural-themed special dinner, Cooking workshops","Sexual assault prevention workshop, Protest workshop, Know Your Rights workshop, Conflict resolution workshop, Trans awareness workshop, Disability awareness workshop","STEM talks, Talks about inclusion issues in STEM, Talks on oppression and social justice, Talks on cultures and identities","GSI/professor dinners, Financial literacy workshop","Create more murals that represent marginalized groups, House Account funding for large-scale murals",,"Yes, I want to fill out the Gender and Sexuality Support Circle section.",,"LGBTQ+/Queer Circle, Women and Femmes Circle, Gender Empowerment Circle",,"Interviews (for HI hours), Improving and running this survey again","Gender/sexuality-oppressed people, Low-income people",,,
10/30/2017 10:16,White,No,Female,Straight,No,No,0 (this is my first semester),,,,,,,,,,,,,,,,5 (Very well),5 (Very well),5 (Very well),3 (Somewhat),4,5 (Very well),"People have avoided socializing with me or even acknowledging me in common space., I have not experienced microaggressions or other oppressive behaviors at Cloyne.",4,5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),4,5 (Very much so),5 (Very much so),"People of color, Queer folks, People with disabilities","People of color, Queer folks, People with disabilities","""Initiation"" (inclusive, consensual, and substance-free, of course!), Big-little system (but--again--co-op style!)",,3 (About half the time),2,3 (About half the time),2,1 (Almost never),1 (Almost never),1 (Almost never),I don't have enough time to attend.,5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),4,"Anti-Oppression Workshop, Community Agreements, Consent Workshop, Two councils (one per semester), I think each member should get to completely decide how they fulfill their CE hours.","Multicultural-themed special dinner, Enough communal food cooked for leftovers, Cooking workshops","Protest workshop, Know Your Rights workshop","Talks on oppression and social justice, Promotion of on-campus academic/career resources","GSI/professor dinners, Résumé-building workshop","Create more murals that represent marginalized groups, House Account funding for large-scale murals",,"No, I'd like to provide final feedback or submit.","All the social events I've attended so far (Rocky Horror Showing, Chick Flick Night, BBQ) have been very fun! some of the makerspace events have been scheduled for the middle of the day when I'm busy with class so it might be nice to schedule those at a more convenient time! ",,,Focus groups (for HI hours),Gender/sexuality-oppressed people,,,"I think you covered all the bases!! Wondering how you know who filled it out to account for community hours? Just in case, this is Julia Hedelman :) "
10/30/2017 10:27,"White, Middle Eastern or North African",No,"Female, Nonbinary, Genderqueer",Queer,No,Yes,0 (this is my first semester),,,"Mental disorder (e.g., depression)",N/A,N/A,N/A,N/A,,,,,,,,,4,5 (Very well),4,2,4,3 (Somewhat),"I’ve heard or been told inappropriate jokes, questions, stereotypes, slurs, etc., People have incorrectly assumed my gender pronouns/new name, or have failed to use them after learning them., The above responses are limited to about two people and not representative of Cloyne as a whole",3 (Somewhat),4,3 (Somewhat),3 (Somewhat),5 (Very much so),5 (Very much so),5 (Very much so),5 (Very much so),2,4,5 (Very much so),5 (Very much so),4,5 (Very much so),5 (Very much so),3 (Somewhat),2,3 (Somewhat),5 (Very much so),,,"""Initiation"" (inclusive, consensual, and substance-free, of course!)","One of the biggest concerns I have is that I feel like many members quickly segregated themselves racially/culturally and there's less transfer across identity groups than I'd like to see. I feel uncomfortable approaching some of these groups/trying to integrate myself at dinner or other social gatherings. I don't know what should or could be done about this, though",3 (About half the time),1 (Almost never),2,2,3 (About half the time),1 (Almost never),2,"I don't feel a substantial tie to this community., The events are not fun, engaging, or otherwise worthwhile enough for me to attend more., Events are at inconvenient times",2,3 (Somewhat),N/A,3 (Somewhat),3 (Somewhat),I think each member should get to completely decide how they fulfill their CE hours.,"Enough communal food cooked for leftovers, Multicultural theme dinners and programming, Cooking workshops, More vegetarian/vegan staples",Sexual assault prevention workshop,"Humanities talks, STEM talks","GSI/professor dinners, Time-management workshop","None of the above, and I have no other ideas.",,"No, I'd like to provide final feedback or submit.",,,,Interviews (for HI hours),,,,"The audience of this question: ""The house's focus on vegan and vegetarian food is inclusive for me"" is unclear—is it asking if there's enough vegan/vegetarian food for vegans/vegetarians, or if there's enough animal products for omnivores? "
10/30/2017 10:34,Latinx/Chicanx,Yes,Male,Straight,Yes,No,3,,,,,,,,,,,,,,,,2,3 (Somewhat),4,4,4,4,"People have avoided socializing with me or even acknowledging me in common space., People have turned off music I've put on without asking me., I have not experienced microaggressions or other oppressive behaviors at Cloyne.",2,2,4,3 (Somewhat),1 (Not at all),2,1 (Not at all),2,3 (Somewhat),2,2,4,1 (Not at all),4,4,1 (Not at all),2,2,2,"People of color, Low-income folks, Trans folks, Women, Queer folks, First-gen college students, People with disabilities",,"Check-ins throughout the semester with an involved member or manager, Big-little system (but--again--co-op style!), Outgoing managers encouraging members of underrepresented groups to run for positions",,1 (Almost never),1 (Almost never),1 (Almost never),1 (Almost never),1 (Almost never),1 (Almost never),1 (Almost never),"The events are not fun, engaging, or otherwise worthwhile enough for me to attend more., I don't have enough time to attend.",2,2,4,2,3 (Somewhat),I think each member should get to completely decide how they fulfill their CE hours.,"Multicultural-themed special dinner, Enough communal food cooked for leftovers, Multicultural theme dinners and programming, Cooking workshops","Sexual assault prevention workshop, Know Your Rights workshop, Trans awareness workshop, Disability awareness workshop","Humanities talks, STEM talks, Talks about inclusion issues in STEM, Talks on oppression and social justice, Talks on cultures and identities, Promotion of on-campus academic/career resources","GSI/professor dinners, Résumé-building workshop, Mock interviews",Create more murals that represent marginalized groups,,"No, I'd like to provide final feedback or submit.",,,,"Focus groups (for HI hours), Interviews (for HI hours)","People of color, Low-income people",,,
